                                                movie        year  timeMin  imdb    metascore      votes us_grossMillions
42                The Perks of Being a Wallflower       (2012)  103 min   8.0   67            495,731          $17.74M
43                            Catch Me If You Can       (2002)  141 min   8.1   75            931,717         $164.62M
44  Indiana Jones and the Raiders of the Lost Ark       (1981)  115 min   8.4   85            939,712         $248.16M
45                                      Spotlight   (I) (2015)  129 min   8.1   93            457,061          $45.06M
46                     Captain America: Civil War       (2016)  147 min   7.8   75            747,324         $408.08M
47                                 V for Vendetta       (2005)  132 min   8.2   62          1,094,677          $70.51M
48                                          Logan       (2017)  137 min   8.1   77            722,609         $226.28M
49                                   Finding Nemo       (2003)  100 min   8.2   90          1,012,229         $380.84M                                              movie         year  timeMin  imdb   metascore      votes us_grossMillions
0                                          Superbad       (2007)  113 min   7.6  76            559,880         $121.46M
1                                            Casino       (1995)  178 min   8.2  73            503,395          $42.44M
2             The Lord of the Rings: The Two Towers       (2002)  179 min   8.8  87          1,597,372         $342.55M
3                                     Another Round       (2020)  117 min   7.7  79            139,644                -
4                                          Hot Fuzz       (2007)  121 min   7.8  81            493,822          $23.64M
5                                    Hidden Figures       (2016)  127 min   7.8  74            221,112         $169.61M
6                                Dances with Wolves       (1990)  181 min   8.1  72            258,067         $184.21M
7                          Ferris Bueller's Day Off       (1986)  103 min   7.8  61            346,399          $70.14M
8                                        Inside Out   (I) (2015)   95 min   8.2  94            682,828         $356.46M
9                    Guardians of the Galaxy Vol. 2       (2017)  136 min   7.6  67            644,186         $389.81M
10                               Hell or High Water  (II) (2016)  102 min   7.6  88            223,806          $26.86M
11                                 Moonrise Kingdom       (2012)   94 min   7.8  84            342,498          $45.51M
12                                       About Time   (I) (2013)  123 min   7.8  55            335,020          $15.32M
13                               The Breakfast Club       (1985)   97 min   7.8  66            383,747          $45.88M
14                                      City of God       (2002)  130 min   8.6  79            738,389           $7.56M
15                                 The Intouchables       (2011)  112 min   8.5  57            826,801          $13.18M
16                                   The Terminator       (1984)  107 min   8.1  84            837,838          $38.40M
17                      Baahubali 2: The Conclusion       (2017)  167 min   8.3           0     88,234          $20.19M
18                                    Trainspotting       (1996)   93 min   8.2  83            671,215          $16.50M
19                                 Mulholland Drive       (2001)  147 min   7.9  85            346,549           $7.22M
20                                    All About Eve       (1950)  138 min   8.3  98            129,056           $0.01M
21                                   A Star Is Born       (2018)  136 min   7.6  88            371,005         $215.29M
22                       Terminator 2: Judgment Day       (1991)  137 min   8.6  75          1,063,128         $204.84M
23  Birdman or (The Unexpected Virtue of Ignorance)       (2014)  119 min   7.7  87            615,554          $42.34M
24   Star Wars: Episode V - The Empire Strikes Back       (1980)  124 min   8.7  82          1,243,477         $290.48M
25                                       Unforgiven       (1992)  130 min   8.2  85            402,294         $101.16M
26                                         The Hunt       (2012)  115 min   8.3  77            317,307           $0.69M
27                               American History X       (1998)  119 min   8.5  62          1,092,161           $6.72M
28                                        Moneyball       (2011)  133 min   7.6  87            408,286          $75.61M
29                                     The Exorcist       (1973)  122 min   8.1  81            389,314         $232.91M
30                                          Warrior       (2011)  140 min   8.2  71            461,447          $13.66M
31                                          Gattaca       (1997)  106 min   7.8  64            297,011          $12.34M
32                                         Kick-Ass       (2010)  117 min   7.6  66            551,182          $48.07M
33           Harry Potter and the Half-Blood Prince       (2009)  153 min   7.6  78            524,166         $301.96M
34                                Midnight in Paris       (2011)   94 min   7.7  81            414,358          $56.82M
35     Harry Potter and the Deathly Hallows: Part 1       (2010)  146 min   7.7  65            527,353         $295.98M
36                                         Stardust       (2007)  127 min   7.6  66            268,519          $38.63M
37                             Howl's Moving Castle       (2004)  119 min   8.2  80            375,975           $4.71M
38                                      Blue Velvet       (1986)  120 min   7.7  76            194,137           $8.55M
39                                  The Incredibles       (2004)  115 min   8.1  90            704,220         $261.44M
40                                        Toy Story       (1995)   81 min   8.3  95            958,062         $191.80M
41                                     Falling Down       (1993)  113 min   7.6  56            185,394          $40.90M
42                                           Psycho       (1960)  109 min   8.5  97            650,114          $32.00M
43                                        Star Trek       (2009)  127 min   8.0  82            596,835         $257.73M
44                               X-Men: First Class       (2011)  131 min   7.7  65            677,503         $146.41M
45                                          RoboCop       (1987)  102 min   7.6  67            251,322          $53.42M
46                                          Skyfall       (2012)  143 min   7.8  81            682,400         $304.36M
47                                    Into the Wild       (2007)  148 min   8.1  73            609,769          $18.35M
48                                Life Is Beautiful       (1997)  116 min   8.6  59            673,182          $57.60M
49                                    Almost Famous       (2000)  122 min   7.9  90            271,199          $32.53M                                           movie        year  timeMin  imdb   metascore      votes us_grossMillions
0                               A Beautiful Mind      (2001)  135 min   8.2  72            905,800         $170.74M
1                                Black Hawk Down      (2001)  144 min   7.7  74            387,453         $108.64M
2   Star Wars: Episode III - Revenge of the Sith      (2005)  140 min   7.6  68            759,679         $380.26M
3                                     12 Monkeys      (1995)  129 min   8.0  74            606,650          $57.14M
4                                  Love Actually      (2003)  135 min   7.6  55            473,229          $59.70M
5                                Pan's Labyrinth      (2006)  118 min   8.2  98            653,665          $37.63M
6                               The Wizard of Oz      (1939)  102 min   8.1  92            387,781           $2.08M
7                                     Inside Man      (2006)  129 min   7.6  76            364,539          $88.51M
8                                           Rush  (I) (2013)  123 min   8.1  74            466,165          $26.95M
9                                          Taken  (I) (2008)   90 min   7.8  51            591,596         $145.00M
10                                       Amadeus      (1984)  160 min   8.4  88            391,919          $51.97M
11                                Sound of Metal      (2019)  120 min   7.7  82            117,624                -
12                                A Few Good Men      (1992)  138 min   7.7  62            254,940         $141.34M
13                               The Deer Hunter      (1978)  183 min   8.1  86            332,354          $48.98M
14                                  Come and See      (1985)  142 min   8.4           0     73,879             #104
15                  The Bridge on the River Kwai      (1957)  161 min   8.2  87            216,243          $44.91M
16                           Singin' in the Rain      (1952)  103 min   8.3  99            235,715           $8.82M
17                                       Cabaret      (1972)  124 min   7.8  80             53,702          $42.77M
18                              The Last Samurai      (2003)  154 min   7.8  55            427,365         $111.11M
